person,year,labinc,hours,pp,group,cumul_hours,occswitch,jdum2,jdum3,jdum4,jdum5,jdum6,jdum7,jdum8,jdum9
2,1984,24129.72,1820,0,1,1820,0,1,0,0,0,0,0,0,0
2,1985,22294.02,1820,1,1,3640,0,1,0,0,0,0,0,0,0
2,1986,27833.06,1820,0,1,5460,0,1,0,0,0,0,0,0,0
2,1987,30710.33,1820,0,1,7280,0,1,0,0,0,0,0,0,0
2,1988,36876.09,2360,0,1,9640,0,1,0,0,0,0,0,0,0
2,1989,33430.51,2240,0,1,11880,0,1,0,0,0,0,0,0,0
2,1990,33381.2,1820,0,1,13700,0,1,0,0,0,0,0,0,0
2,1991,32030.67,1820,0,1,15520,0,1,0,0,0,0,0,0,0
2,1992,34193.86,1820,1,1,17340,0,1,0,0,0,0,0,0,0
2,2006,5950.733,936,0,1,18276,0,0,0,0,0,0,0,1,0
2,2008,5065.551,884,0,1,19160,0,0,0,0,0,0,0,1,0
2,2010,6000,884,0,1,20044,0,0,0,0,0,0,0,1,0
2,2012,18046.67,1820,0,1,21864,0,0,0,0,0,0,0,1,0
2,2014,19346.46,1820,0,1,23684,0,0,0,0,0,0,0,1,0
3,1992,6217.065,910,0,1,910,0,0,0,0,0,0,1,0,0
3,2012,33243.88,1716,0,1,2626,0,0,0,0,0,0,1,0,0
3,2014,36850.39,2010,0,1,4636,0,0,0,0,0,0,1,0,0
4,1987,33589.43,1851,0,2,1851,0,1,0,0,0,0,0,0,0
4,1988,39309.92,1480,0,2,3331,0,1,0,0,0,0,0,0,0
4,1992,47405.13,1820,0,2,5151,0,1,0,0,0,0,0,0,0
4,1993,49811.44,1836,0,2,6987,0,1,0,0,0,0,0,0,0
4,1996,48659.68,2392,0,2,9379,0,1,0,0,0,0,0,0,0
4,1998,17391.71,1280,0,2,10659,1,0,0,0,0,0,0,0,0
5,1986,85723.84,2860,0,3,2860,0,0,0,0,0,0,0,0,0
5,1988,105325.5,2960,0,3,5820,0,0,0,0,0,0,0,0,0
5,1989,110560,2845,0,3,8665,0,0,0,0,0,0,0,0,0
6,1986,32008.02,2120,0,1,2120,0,0,0,0,0,0,0,0,0
6,1990,38388.37,2080,0,1,4200,0,0,0,0,0,0,0,0,0
6,1991,40038.34,2080,0,1,6280,1,1,0,0,0,0,0,0,0
6,1992,40410.93,2080,0,1,8360,1,0,0,0,0,0,0,0,0
6,2002,52740.67,2080,0,1,10440,0,0,0,0,1,0,0,0,0
7,1996,35591.08,2496,1,2,2496,0,0,0,0,0,1,0,0,0
7,1998,35853.68,2496,1,2,4992,0,0,0,0,0,1,0,0,0
7,2000,31661.75,2288,1,2,7280,0,0,0,0,0,1,0,0,0
7,2004,34632.09,2080,1,2,9360,0,0,0,0,0,0,0,1,0
7,2008,32926.08,1440,1,2,10800,0,0,1,0,0,0,0,0,0
8,1984,20982.36,2417,0,1,2417,0,0,0,0,0,0,0,0,0
8,1987,17274.56,2230,0,1,4647,0,1,0,0,0,0,0,0,0
8,1988,7812.201,999,0,1,5646,0,1,0,0,0,0,0,0,0
8,1989,27272.26,2040,0,1,7686,0,1,0,0,0,0,0,0,0
8,1990,28374.01,2080,0,1,9766,0,1,0,0,0,0,0,0,0
8,1991,28667.45,2080,0,1,11846,0,1,0,0,0,0,0,0,0
8,1992,27976.79,2080,0,1,13926,0,1,0,0,0,0,0,0,0
8,1993,27169.88,2024,0,1,15950,0,1,0,0,0,0,0,0,0
8,1994,30160.62,2030,0,1,17980,0,1,0,0,0,0,0,0,0
8,1996,33366.64,2496,1,1,20476,0,1,0,0,0,0,0,0,0
8,1998,29432.13,2288,0,1,22764,0,1,0,0,0,0,0,0,0
8,2000,34701.28,2080,0,1,24844,0,1,0,0,0,0,0,0,0
8,2002,38191.52,2080,1,1,26924,1,0,0,0,1,0,0,0,0
8,2004,39249.71,2272,1,1,29196,1,1,0,0,0,0,0,0,0
8,2006,38950.26,2000,1,1,31196,0,1,0,0,0,0,0,0,0
8,2008,41537.52,2260,1,1,33456,0,1,0,0,0,0,0,0,0
8,2010,41999,2000,1,1,35456,0,1,0,0,0,0,0,0,0
8,2012,37993,2620,1,1,38076,0,1,0,0,0,0,0,0,0
9,1988,33188.48,2600,1,3,2600,0,0,0,0,0,0,0,1,0
9,1989,36949.51,2040,0,3,4640,0,0,0,0,0,0,0,1,0
9,1990,50071.79,1690,1,3,6330,0,0,0,0,0,0,0,1,0
9,1991,40038.34,2805,1,3,9135,0,0,0,0,0,0,0,1,0
9,1992,38856.66,2670,1,3,11805,0,0,0,0,0,0,0,1,0
9,1994,29425,1265,1,3,13070,0,0,0,0,0,0,0,0,1
9,1996,72294.38,3120,0,3,16190,0,0,0,0,0,0,0,0,1
9,2000,65856.45,2860,0,3,19050,0,0,0,0,0,0,0,0,1
9,2002,60621.46,2860,0,3,21910,1,0,0,0,1,0,0,0,0
9,2004,63492.18,2600,0,3,24510,1,0,0,0,0,0,0,1,0
9,2006,70326.85,2600,0,3,27110,0,0,0,0,0,0,0,1,0
9,2008,50655.51,2600,0,3,29710,0,0,0,0,0,0,0,1,0
9,2010,52000,2600,0,3,32310,0,0,0,0,0,0,0,1,0
9,2012,71236.88,2860,0,3,35170,0,0,0,0,0,0,0,1,0
9,2014,73700.78,2860,0,3,38030,0,0,0,0,0,0,0,1,0
11,1985,40534.57,2080,1,2,2080,0,0,0,0,1,0,0,0,0
11,1989,80937.02,3120,1,2,5200,0,0,0,0,1,0,0,0,0
11,1990,123982.8,2820,1,2,8020,0,0,0,0,1,0,0,0,0
11,1992,85484.65,2080,1,2,10100,0,1,0,0,0,0,0,0,0
11,1993,90566.26,2080,1,2,12180,0,1,0,0,0,0,0,0,0
11,1994,149557,2330,1,2,14510,0,1,0,0,0,0,0,0,0
11,1998,33445.6,1100,1,2,15610,0,0,0,0,1,0,0,0,0
11,2000,69655.85,2340,1,2,17950,1,0,0,0,0,0,0,1,0
11,2002,18186.44,650,1,2,18600,1,0,0,0,1,0,0,0,0
12,1985,50668.21,2154,0,3,2154,0,1,0,0,0,0,0,0,0
12,1993,60377.5,1560,0,3,3714,0,1,0,0,0,0,0,0,0
12,1994,62675.24,1546,0,3,5260,0,1,0,0,0,0,0,0,0
13,1984,35670.02,2960,0,2,2960,0,0,0,0,0,0,0,1,0
13,1985,42701.14,3071,0,2,6031,1,1,0,0,0,0,0,0,0
13,1986,46123.36,2864,0,2,8895,0,1,0,0,0,0,0,0,0
13,1988,40563.7,2640,1,2,11535,0,1,0,0,0,0,0,0,0
13,1989,54544.51,3120,0,2,14655,1,0,0,0,0,0,0,0,0
